"114年05月06日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2888","新光金          ","47,070,230","12,910,000","34,160,230","0","0","0","10,000","0","10,000","-1,961,004","0","1,139,990","-1,139,990","80,000","901,014","-821,014","32,209,226",
"2618","長榮航          ","38,545,148","40,664,851","-2,119,703","0","0","0","34,012,000","848,250","33,163,750","773,611","1,190,735","884,990","305,745","1,638,588","1,170,722","467,866","31,817,658",
"3231","緯創            ","30,182,843","10,249,990","19,932,853","0","0","0","1,402,000","87,346","1,314,654","-283,790","291,685","418,000","-126,315","371,525","529,000","-157,475","20,963,717",
"2883","凱基金          ","30,731,213","12,049,000","18,682,213","0","0","0","138,000","292,267","-154,267","-1,383,550","60,000","700,550","-640,550","15,000","758,000","-743,000","17,144,396",
="00715L","期街口布蘭特正2 ","31,043,000","4,899,000","26,144,000","0","0","0","0","0","0","-9,975,162","0","0","0","30,890,328","40,865,490","-9,975,162","16,168,838",
"2891","中信金          ","47,673,001","32,409,267","15,263,734","0","0","0","2,331,000","1,232,149","1,098,851","-2,209,740","153,000","949,718","-796,718","116,602","1,529,624","-1,413,022","14,152,845",
="00940","元大台灣價值高息","85,000","14,661,134","-14,576,134","0","0","0","0","0","0","28,034,992","487,000","51,272","435,728","30,744,263","3,144,999","27,599,264","13,458,858",
"2801","彰銀            ","18,527,000","4,660,578","13,866,422","0","0","0","588,000","130,631","457,369","-1,154,000","0","559,000","-559,000","2,000","597,000","-595,000","13,169,791",
"2884","玉山金          ","26,112,213","11,592,649","14,519,564","0","0","0","648,000","734,349","-86,349","-1,315,361","203,939","546,228","-342,289","99,046","1,072,118","-973,072","13,117,854",
"2882","國泰金          ","60,488,886","45,608,575","14,880,311","0","0","0","1,141,000","2,221,908","-1,080,908","-1,587,850","25,000","931,426","-906,426","166,576","848,000","-681,424","12,211,553",
"2834","臺企銀          ","15,986,142","2,933,000","13,053,142","0","0","0","0","668,271","-668,271","-709,648","3,269","390,917","-387,648","0","322,000","-322,000","11,675,223",
"2317","鴻海            ","35,394,702","21,270,261","14,124,441","0","0","0","199,000","416,347","-217,347","-2,256,631","368,677","2,306,678","-1,938,001","109,722","428,352","-318,630","11,650,463",
"2880","華南金          ","22,488,078","9,613,829","12,874,249","0","0","0","179,000","748,188","-569,188","-1,630,308","4,141","487,000","-482,859","551","1,148,000","-1,147,449","10,674,753",
"5880","合庫金          ","13,271,086","2,333,010","10,938,076","0","0","0","192,000","139,224","52,776","-1,077,000","80,000","528,000","-448,000","0","629,000","-629,000","9,913,852",
"2002","中鋼            ","29,090,280","17,733,075","11,357,205","0","0","0","202,000","1,806,844","-1,604,844","-395,123","95,000","348,000","-253,000","365,516","507,639","-142,123","9,357,238",
"2886","兆豐金          ","15,063,270","4,820,153","10,243,117","0","0","0","489,000","671,048","-182,048","-1,419,000","202,000","484,000","-282,000","0","1,137,000","-1,137,000","8,642,069",
"2409","友達            ","24,512,780","13,077,359","11,435,421","0","0","0","54,000","2,789,601","-2,735,601","-420,315","194,000","178,000","16,000","35,037","471,352","-436,315","8,279,505",
"2382","廣達            ","13,709,423","6,395,692","7,313,731","0","0","0","1,292,712","418,294","874,418","-623,608","130,937","567,794","-436,857","5,000","191,751","-186,751","7,564,541",
="00929","復華台灣科技優息","11,331,794","24,501,316","-13,169,522","0","0","0","0","0","0","20,499,446","10,000","110,000","-100,000","37,012,471","16,413,025","20,599,446","7,329,924",
="0056","元大高股息      ","3,448,625","7,740,000","-4,291,375","0","0","0","210,000","0","210,000","11,410,871","0","464,362","-464,362","15,619,580","3,744,347","11,875,233","7,329,496",
"2337","旺宏            ","8,683,005","1,752,018","6,930,987","0","0","0","22,000","1,000","21,000","-35,187","101,000","438,000","-337,000","404,813","103,000","301,813","6,916,800",
"2412","中華電          ","10,932,809","3,948,000","6,984,809","0","0","0","78,000","113,051","-35,051","-466,598","30,000","308,967","-278,967","20,004","207,635","-187,631","6,483,160",
"2344","華邦電          ","13,124,238","6,098,000","7,026,238","0","0","0","44,000","7,646","36,354","-941,426","131,959","832,463","-700,504","250,081","491,003","-240,922","6,121,166",
"2615","萬海            ","9,296,156","3,125,005","6,171,151","0","0","0","32,000","29,049","2,951","-141,021","3,000","80,157","-77,157","180,136","244,000","-63,864","6,033,081",
"2890","永豐金          ","21,547,947","12,999,350","8,548,597","0","0","0","462,000","2,434,150","-1,972,150","-1,843,501","0","727,568","-727,568","7,352","1,123,285","-1,115,933","4,732,946",
="00939","統一台灣高息動能","173,000","1,226,000","-1,053,000","0","0","0","0","0","0","5,717,257","0","0","0","7,530,904","1,813,647","5,717,257","4,664,257",
"2609","陽明            ","10,102,975","5,261,000","4,841,975","0","0","0","170,000","292,137","-122,137","-595,988","55,000","334,392","-279,392","113,607","430,203","-316,596","4,123,850",
"2633","台灣高鐵        ","5,597,735","1,634,004","3,963,731","0","0","0","26,000","12,000","14,000","-83,000","0","70,000","-70,000","6,000","19,000","-13,000","3,894,731",
="00930","永豐ESG低碳高息 ","31,000","641,000","-610,000","0","0","0","0","0","0","4,285,978","0","0","0","5,235,997","950,019","4,285,978","3,675,978",
"6757","台灣虎航        ","10,597,508","7,845,206","2,752,302","0","0","0","1,086,000","35,000","1,051,000","-219,925","72,536","288,000","-215,464","72,666","77,127","-4,461","3,583,377",
"9105","泰金寶-DR       ","5,278,281","2,217,545","3,060,736","0","0","0","0","0","0","475,681","0","208","-208","476,065","176","475,889","3,536,417",
="00650L","復華香港正2     ","1,770,000","1,582,000","188,000","0","0","0","0","0","0","2,912,864","0","0","0","10,376,113","7,463,249","2,912,864","3,100,864",
"5876","上海商銀        ","7,480,313","3,358,304","4,122,009","0","0","0","32,000","294,403","-262,403","-775,190","6,499","259,689","-253,190","1,000","523,000","-522,000","3,084,416",
="00673R","期元大S&P原油反1","0","3,000","-3,000","0","0","0","0","0","0","2,862,472","0","2,587,000","-2,587,000","14,560,000","9,110,528","5,449,472","2,859,472",
"9904","寶成            ","7,318,288","3,986,438","3,331,850","0","0","0","0","344,413","-344,413","-152,393","4,000","80,835","-76,835","2,001","77,559","-75,558","2,835,044",
"2646","星宇航空        ","5,099,000","2,466,595","2,632,405","0","0","0","0","0","0","118,533","18,000","94,306","-76,306","221,839","27,000","194,839","2,750,938",
"1101","台泥            ","10,978,175","8,066,201","2,911,974","0","0","0","108,000","45,681","62,319","-338,674","0","119,000","-119,000","4,515","224,189","-219,674","2,635,619",
"6005","群益證          ","2,534,836","1,296,000","1,238,836","0","0","0","1,553,712","182,000","1,371,712","0","0","0","0","0","0","0","2,610,548",
="009803","保德信市值動能50","328,000","1,390,000","-1,062,000","0","0","0","0","0","0","3,667,300","0","0","0","6,689,470","3,022,170","3,667,300","2,605,300",
="009802","富邦旗艦50      ","217,000","1,528,018","-1,311,018","0","0","0","0","0","0","3,803,196","0","0","0","5,795,994","1,992,798","3,803,196","2,492,178",
"2105","正新            ","4,064,797","1,083,149","2,981,648","0","0","0","59,000","287,980","-228,980","-293,124","245","65,000","-64,755","24,631","253,000","-228,369","2,459,544",
"2845","遠東銀          ","3,394,002","800,000","2,594,002","0","0","0","0","9,000","-9,000","-178,689","1,000","172,689","-171,689","2,000","9,000","-7,000","2,406,313",
"3706","神達            ","3,703,960","1,357,999","2,345,961","0","0","0","9,000","5,000","4,000","6,940","37,763","43,928","-6,165","27,287","14,182","13,105","2,356,901",
"2408","南亞科          ","17,149,278","15,284,759","1,864,519","0","0","0","27,000","1,000","26,000","452,184","169,000","101,000","68,000","1,077,916","693,732","384,184","2,342,703",
="00934","中信成長高股息  ","352,000","614,062","-262,062","0","0","0","0","0","0","2,592,805","0","0","0","3,708,308","1,115,503","2,592,805","2,330,743",
="00936","台新永續高息中小","127,000","394,000","-267,000","0","0","0","0","0","0","2,423,821","0","0","0","3,237,044","813,223","2,423,821","2,156,821",
"2356","英業達          ","7,899,192","4,458,160","3,441,032","0","0","0","29,000","1,094,000","-1,065,000","-389,984","32,623","169,002","-136,379","33,395","287,000","-253,605","1,986,048",
"6177","達麗            ","3,332,679","1,701,633","1,631,046","0","0","0","397,000","1,000","396,000","-58,391","201,054","236,000","-34,946","27,507","50,952","-23,445","1,968,655",
"2515","中工            ","3,736,347","1,690,969","2,045,378","0","0","0","0","0","0","-155,854","2,663","32,000","-29,337","177,483","304,000","-126,517","1,889,524",
"1402","遠東新          ","6,472,671","3,819,179","2,653,492","0","0","0","0","142,000","-142,000","-641,859","5,000","450,747","-445,747","110,787","306,899","-196,112","1,869,633",
"3450","聯鈞            ","4,622,190","2,933,899","1,688,291","0","0","0","191,000","36,000","155,000","-5,031","24,487","29,518","-5,031","1,000","1,000","0","1,838,260",
"4532","瑞智            ","2,116,678","1,464,052","652,626","0","0","0","1,168,537","2,000","1,166,537","-20,523","477","33,000","-32,523","12,000","0","12,000","1,798,640",
="00915","凱基優選高股息30","73,000","379,000","-306,000","0","0","0","0","0","0","2,092,933","0","0","0","3,544,432","1,451,499","2,092,933","1,786,933",
="00946","群益科技高息成長","97,000","1,457,000","-1,360,000","0","0","0","0","0","0","3,132,898","0","0","0","6,481,877","3,348,979","3,132,898","1,772,898",
="00932","兆豐永續高息等權","21,000","1,000","20,000","0","0","0","0","0","0","1,717,439","0","0","0","1,986,000","268,561","1,717,439","1,737,439",
"2812","台中銀          ","2,498,000","614,000","1,884,000","0","0","0","0","19,000","-19,000","-136,000","0","116,000","-116,000","0","20,000","-20,000","1,729,000",
="009804","聯邦台精彩50    ","52,000","2,431,000","-2,379,000","0","0","0","0","0","0","4,105,564","0","0","0","6,626,000","2,520,436","4,105,564","1,726,564",
"2892","第一金          ","22,094,708","19,360,590","2,734,118","0","0","0","190,000","134,375","55,625","-1,143,030","14,000","452,030","-438,030","12,000","717,000","-705,000","1,646,713",
"2809","京城銀          ","2,879,235","1,796,207","1,083,028","0","0","0","600,065","140,677","459,388","101,403","0","28,597","-28,597","130,000","0","130,000","1,643,819",
"1303","南亞            ","7,216,996","3,915,036","3,301,960","0","0","0","46,000","968,545","-922,545","-813,675","32,348","158,863","-126,515","36,000","723,160","-687,160","1,565,740",
"2603","長榮            ","5,067,020","3,779,371","1,287,649","0","0","0","513,000","58,369","454,631","-187,622","69,000","92,000","-23,000","64,920","229,542","-164,622","1,554,658",
"2354","鴻準            ","4,703,688","3,033,000","1,670,688","0","0","0","13,000","1,743","11,257","-142,865","54,296","116,136","-61,840","19,490","100,515","-81,025","1,539,080",
"3035","智原            ","3,201,020","1,646,040","1,554,980","0","0","0","87,000","2,000","85,000","-140,822","27,642","174,276","-146,634","92,080","86,268","5,812","1,499,158",
"1514","亞力            ","5,734,028","4,442,830","1,291,198","0","0","0","0","0","0","31,422","22,000","24,060","-2,060","47,543","14,061","33,482","1,322,620",
"2474","可成            ","2,617,922","1,441,675","1,176,247","0","0","0","351,857","148,723","203,134","-106,325","0","25,000","-25,000","2,233","83,558","-81,325","1,273,056",
"3036","文曄            ","2,184,000","811,019","1,372,981","0","0","0","17,000","7,000","10,000","-113,742","1,620","64,362","-62,742","26,000","77,000","-51,000","1,269,239",
"9945","潤泰新          ","3,706,661","2,254,000","1,452,661","0","0","0","0","1,000","-1,000","-224,298","1,347","158,286","-156,939","9,000","76,359","-67,359","1,227,363",
"8222","寶一            ","8,694,866","7,545,651","1,149,215","0","0","0","0","0","0","76,508","95,508","19,000","76,508","0","0","0","1,225,723",
"2838","聯邦銀          ","1,672,000","227,000","1,445,000","0","0","0","0","0","0","-228,049","0","228,049","-228,049","0","0","0","1,216,951",
="00690","兆豐藍籌30      ","95,000","74,000","21,000","0","0","0","0","0","0","1,178,732","0","0","0","1,464,896","286,164","1,178,732","1,199,732",
"4904","遠傳            ","5,541,000","3,937,252","1,603,748","0","0","0","287,000","681,708","-394,708","-49,979","21","52,000","-51,979","32,000","30,000","2,000","1,159,061",
"1301","台塑            ","10,149,200","6,918,657","3,230,543","0","0","0","33,000","800,195","-767,195","-1,325,569","19,717","262,207","-242,490","102,102","1,185,181","-1,083,079","1,137,779",
"1618","合機            ","2,820,493","1,719,207","1,101,286","0","0","0","0","0","0","-9,748","0","9,000","-9,000","753","1,501","-748","1,091,538",
"2897","王道銀行        ","1,617,150","412,000","1,205,150","0","0","0","0","15,000","-15,000","-100,111","0","100,111","-100,111","0","0","0","1,090,039",
"3017","奇鋐            ","2,288,104","1,593,476","694,628","0","0","0","347,000","5,246","341,754","46,868","92,114","61,500","30,614","79,341","63,087","16,254","1,083,250",
"2449","京元電子        ","3,270,180","1,882,033","1,388,147","0","0","0","146,000","283,446","-137,446","-170,637","70,959","153,456","-82,497","30,997","119,137","-88,140","1,080,064",
"5871","中租-KY         ","4,264,445","2,966,239","1,298,206","0","0","0","78,000","106,043","-28,043","-203,379","10,064","34,000","-23,936","9,557","189,000","-179,443","1,066,784",
="00907","永豐優息存股    ","52,000","169,000","-117,000","0","0","0","0","0","0","1,166,848","0","0","0","2,172,452","1,005,604","1,166,848","1,049,848",
"1513","中興電          ","2,787,057","1,603,005","1,184,052","0","0","0","6,000","16,258","-10,258","-136,982","12,000","19,292","-7,292","41,860","171,550","-129,690","1,036,812",
"1806","冠軍            ","1,975,714","930,128","1,045,586","0","0","0","0","0","0","-12,000","0","12,000","-12,000","0","0","0","1,033,586",
"2377","微星            ","2,460,381","1,082,180","1,378,201","0","0","0","7,000","259,358","-252,358","-98,098","1,282","38,380","-37,098","2,000","63,000","-61,000","1,027,745",
"2324","仁寶            ","8,940,133","7,090,920","1,849,213","0","0","0","35,000","228,000","-193,000","-632,203","18,000","137,529","-119,529","2,107","514,781","-512,674","1,024,010",
="00753L","中信中國50正2   ","2,433,000","3,474,000","-1,041,000","0","0","0","0","0","0","2,050,794","0","0","0","6,638,345","4,587,551","2,050,794","1,009,794",
"1802","台玻            ","2,346,000","1,231,000","1,115,000","0","0","0","19,000","0","19,000","-132,603","397","82,601","-82,204","31,601","82,000","-50,399","1,001,397",
"1216","統一            ","7,529,295","7,083,234","446,061","0","0","0","902,000","120,264","781,736","-252,019","129,000","213,000","-84,000","11,000","179,019","-168,019","975,778",
"2376","技嘉            ","1,974,809","969,184","1,005,625","0","0","0","0","42,000","-42,000","-45,617","20,000","24,000","-4,000","31,620","73,237","-41,617","918,008",
"1319","東陽            ","2,465,930","1,521,512","944,418","0","0","0","20,000","11,226","8,774","-62,568","13,774","122,920","-109,146","73,078","26,500","46,578","890,624",
"1314","中石化          ","3,611,847","2,593,354","1,018,493","0","0","0","0","0","0","-146,350","0","111,000","-111,000","7,718","43,068","-35,350","872,143",
"3711","日月光投控      ","14,957,977","12,367,007","2,590,970","0","0","0","134,000","1,305,369","-1,171,369","-547,571","2,000","149,859","-147,859","102,448","502,160","-399,712","872,030",
"1560","中砂            ","1,956,101","1,520,000","436,101","0","0","0","288,000","1,000","287,000","129,691","80,000","24,000","56,000","91,387","17,696","73,691","852,792",
"5521","工信            ","1,343,206","482,031","861,175","0","0","0","0","1,000","-1,000","-17,000","0","17,000","-17,000","0","0","0","843,175",
"4960","誠美材          ","945,000","74,000","871,000","0","0","0","0","0","0","-31,334","0","31,334","-31,334","0","0","0","839,666",
"3376","新日興          ","1,959,651","1,357,803","601,848","0","0","0","220,000","0","220,000","-4,546","30,799","76,644","-45,845","68,349","27,050","41,299","817,302",
"2208","台船            ","1,048,000","246,000","802,000","0","0","0","0","0","0","1,000","7,000","6,000","1,000","0","0","0","803,000",
"2347","聯強            ","2,775,775","2,456,274","319,501","0","0","0","811,906","309,978","501,928","-47,772","0","32,000","-32,000","12,229","28,001","-15,772","773,657",
="00881","國泰台灣科技龍頭","605,000","1,997,000","-1,392,000","0","0","0","0","0","0","2,146,207","337,000","294,000","43,000","4,888,244","2,785,037","2,103,207","754,207",
"2634","漢翔            ","4,403,000","2,722,259","1,680,741","0","0","0","0","1,102,000","-1,102,000","172,322","344,000","173,000","171,000","36,530","35,208","1,322","751,063",
="00905","FT臺灣Smart     ","149,000","528,000","-379,000","0","0","0","0","0","0","1,116,512","0","0","0","1,403,000","286,488","1,116,512","737,512",
"6438","迅得            ","1,190,532","1,021,403","169,129","0","0","0","592,000","22,000","570,000","-4,957","6,000","5,000","1,000","28,380","34,337","-5,957","734,172",
="00665L","富邦琤肭磪囓2 ","2,730,000","5,742,000","-3,012,000","0","0","0","0","0","0","3,738,592","0","0","0","14,794,967","11,056,375","3,738,592","726,592",
"6165","浪凡            ","1,217,896","535,203","682,693","0","0","0","0","0","0","31,000","0","5,000","-5,000","36,000","0","36,000","713,693",
